@RELATION "B3 - CMIG4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl26 NUMERIC
@ATTRIBUTE pvpa26 NUMERIC
@ATTRIBUTE psr26 NUMERIC
@ATTRIBUTE roe26 NUMERIC
@ATTRIBUTE ev_ebit26 NUMERIC
@ATTRIBUTE pl27 NUMERIC
@ATTRIBUTE pvpa27 NUMERIC
@ATTRIBUTE psr27 NUMERIC
@ATTRIBUTE roe27 NUMERIC
@ATTRIBUTE ev_ebit27 NUMERIC
@ATTRIBUTE pl28 NUMERIC
@ATTRIBUTE pvpa28 NUMERIC
@ATTRIBUTE psr28 NUMERIC
@ATTRIBUTE roe28 NUMERIC
@ATTRIBUTE ev_ebit28 NUMERIC
@ATTRIBUTE pl29 NUMERIC
@ATTRIBUTE pvpa29 NUMERIC
@ATTRIBUTE psr29 NUMERIC
@ATTRIBUTE roe29 NUMERIC
@ATTRIBUTE ev_ebit29 NUMERIC
@ATTRIBUTE pl30 NUMERIC
@ATTRIBUTE pvpa30 NUMERIC
@ATTRIBUTE psr30 NUMERIC
@ATTRIBUTE roe30 NUMERIC
@ATTRIBUTE ev_ebit30 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,16.0419,3.2992,111667.1526,0.2057,15.9575,15.6818,3.2251,109160.3389,0.2057,15.5993,15.6327,3.215,108818.5007,0.2057,15.5505,15.5803,3.2042,108453.8733,0.2057,15.4984,15.4854,3.1847,107792.9861,0.2057,15.4039,14.9779,3.0803,104260.6578,0.2057,14.8991,15.0598,3.0972,104830.3881,0.2057,14.9805,15.0107,3.0871,104488.5499,0.2057,14.9317,11.1928,2.7559,79865.6573,0.2462,11.1568,15.4915,1
11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,16.0419,3.2992,111667.1526,0.2057,15.9575,15.6818,3.2251,109160.3389,0.2057,15.5993,15.6327,3.215,108818.5007,0.2057,15.5505,15.5803,3.2042,108453.8733,0.2057,15.4984,15.4854,3.1847,107792.9861,0.2057,15.4039,14.9779,3.0803,104260.6578,0.2057,14.8991,15.0598,3.0972,104830.3881,0.2057,14.9805,11.1279,2.74,79402.668,0.2462,11.0921,15.4017,1
11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,16.0419,3.2992,111667.1526,0.2057,15.9575,15.6818,3.2251,109160.3389,0.2057,15.5993,15.6327,3.215,108818.5007,0.2057,15.5505,15.5803,3.2042,108453.8733,0.2057,15.4984,15.4854,3.1847,107792.9861,0.2057,15.4039,14.9779,3.0803,104260.6578,0.2057,14.8991,11.2252,2.7639,80097.1519,0.2462,11.1891,15.5364,1
11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,16.0419,3.2992,111667.1526,0.2057,15.9575,15.6818,3.2251,109160.3389,0.2057,15.5993,15.6327,3.215,108818.5007,0.2057,15.5505,15.5803,3.2042,108453.8733,0.2057,15.4984,15.4854,3.1847,107792.9861,0.2057,15.4039,11.4134,2.8103,81439.821,0.2462,11.3767,15.7969,1
11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,16.0419,3.2992,111667.1526,0.2057,15.9575,15.6818,3.2251,109160.3389,0.2057,15.5993,15.6327,3.215,108818.5007,0.2057,15.5505,15.5803,3.2042,108453.8733,0.2057,15.4984,11.2869,2.7791,80536.9918,0.2462,11.2505,15.6218,1
11.2869,2.7791,80536.9918,0.2462,11.2505,11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,16.0419,3.2992,111667.1526,0.2057,15.9575,15.6818,3.2251,109160.3389,0.2057,15.5993,15.6327,3.215,108818.5007,0.2057,15.5505,11.2739,2.7759,80444.3939,0.2462,11.2376,15.6038,1
11.2739,2.7759,80444.3939,0.2462,11.2376,11.2869,2.7791,80536.9918,0.2462,11.2505,11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,16.0419,3.2992,111667.1526,0.2057,15.9575,15.6818,3.2251,109160.3389,0.2057,15.5993,11.1312,2.7408,79425.8174,0.2462,11.0953,15.4062,1
11.1312,2.7408,79425.8174,0.2462,11.0953,11.2739,2.7759,80444.3939,0.2462,11.2376,11.2869,2.7791,80536.9918,0.2462,11.2505,11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,16.0419,3.2992,111667.1526,0.2057,15.9575,11.5918,2.8542,82713.0416,0.2462,11.5545,16.0439,0
11.5918,2.8542,82713.0416,0.2462,11.5545,11.1312,2.7408,79425.8174,0.2462,11.0953,11.2739,2.7759,80444.3939,0.2462,11.2376,11.2869,2.7791,80536.9918,0.2462,11.2505,11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,16.1402,3.3194,112350.829,0.2057,16.0552,11.5918,2.8542,82713.0416,0.2462,11.5545,16.0439,0
11.5918,2.8542,82713.0416,0.2462,11.5545,11.5918,2.8542,82713.0416,0.2462,11.5545,11.1312,2.7408,79425.8174,0.2462,11.0953,11.2739,2.7759,80444.3939,0.2462,11.2376,11.2869,2.7791,80536.9918,0.2462,11.2505,11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,16.0256,3.2958,111553.2065,0.2057,15.9413,11.6178,2.8606,82898.2373,0.2462,11.5804,16.0798,0
11.6178,2.8606,82898.2373,0.2462,11.5804,11.5918,2.8542,82713.0416,0.2462,11.5545,11.5918,2.8542,82713.0416,0.2462,11.5545,11.1312,2.7408,79425.8174,0.2462,11.0953,11.2739,2.7759,80444.3939,0.2462,11.2376,11.2869,2.7791,80536.9918,0.2462,11.2505,11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,15.839,3.2574,110254.2213,0.2057,15.7556,12.0039,2.9556,85653.0238,0.2462,11.9652,16.6141,0
12.0039,2.9556,85653.0238,0.2462,11.9652,11.6178,2.8606,82898.2373,0.2462,11.5804,11.5918,2.8542,82713.0416,0.2462,11.5545,11.5918,2.8542,82713.0416,0.2462,11.5545,11.1312,2.7408,79425.8174,0.2462,11.0953,11.2739,2.7759,80444.3939,0.2462,11.2376,11.2869,2.7791,80536.9918,0.2462,11.2505,11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,15.4608,3.1797,107622.067,0.2057,15.3795,11.8546,2.9189,84588.1483,0.2462,11.8165,16.4076,0
11.8546,2.9189,84588.1483,0.2462,11.8165,12.0039,2.9556,85653.0238,0.2462,11.9652,11.6178,2.8606,82898.2373,0.2462,11.5804,11.5918,2.8542,82713.0416,0.2462,11.5545,11.5918,2.8542,82713.0416,0.2462,11.5545,11.1312,2.7408,79425.8174,0.2462,11.0953,11.2739,2.7759,80444.3939,0.2462,11.2376,11.2869,2.7791,80536.9918,0.2462,11.2505,11.4134,2.8103,81439.821,0.2462,11.3767,11.2252,2.7639,80097.1519,0.2462,11.1891,11.1279,2.74,79402.668,0.2462,11.0921,11.1928,2.7559,79865.6573,0.2462,11.1568,11.1117,2.736,79286.9206,0.2462,11.0759,11.3193,2.7871,80768.4864,0.2462,11.2829,11.3388,2.7919,80907.3832,0.2462,11.3023,11.4134,2.8103,81439.821,0.2462,11.3767,11.2901,2.7799,80560.1413,0.2462,11.2538,11.196,2.7567,79888.8067,0.2462,11.16,11.0176,2.7128,78615.5861,0.2462,10.9821,11.1441,2.744,79518.4153,0.2462,11.1082,11.0857,2.7296,79101.7249,0.2462,11.05,14.2618,2.9331,99275.5171,0.2057,14.1867,14.9984,3.0845,104403.0904,0.2057,14.9195,14.9043,3.0652,103747.9005,0.2057,14.8259,14.8593,3.0559,103434.5488,0.2057,14.7811,14.9247,3.0694,103890.3331,0.2057,14.8462,14.9288,3.0702,103918.8196,0.2057,14.8503,14.5278,2.9878,101127.1408,0.2057,14.4513,14.7406,3.0315,102608.4397,0.2057,14.663,15.2235,3.1308,105969.8489,0.2057,15.1434,11.8968,2.9293,84889.0914,0.2462,11.8585,16.4659,0
