@RELATION "B3 - SLCE3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao26 NUMERIC
@ATTRIBUTE high26 NUMERIC
@ATTRIBUTE low26 NUMERIC
@ATTRIBUTE open26 NUMERIC
@ATTRIBUTE volume26 NUMERIC
@ATTRIBUTE cotacao27 NUMERIC
@ATTRIBUTE high27 NUMERIC
@ATTRIBUTE low27 NUMERIC
@ATTRIBUTE open27 NUMERIC
@ATTRIBUTE volume27 NUMERIC
@ATTRIBUTE cotacao28 NUMERIC
@ATTRIBUTE high28 NUMERIC
@ATTRIBUTE low28 NUMERIC
@ATTRIBUTE open28 NUMERIC
@ATTRIBUTE volume28 NUMERIC
@ATTRIBUTE cotacao29 NUMERIC
@ATTRIBUTE high29 NUMERIC
@ATTRIBUTE low29 NUMERIC
@ATTRIBUTE open29 NUMERIC
@ATTRIBUTE volume29 NUMERIC
@ATTRIBUTE cotacao30 NUMERIC
@ATTRIBUTE high30 NUMERIC
@ATTRIBUTE low30 NUMERIC
@ATTRIBUTE open30 NUMERIC
@ATTRIBUTE volume30 NUMERIC
@ATTRIBUTE cotacao31 NUMERIC
@ATTRIBUTE high31 NUMERIC
@ATTRIBUTE low31 NUMERIC
@ATTRIBUTE open31 NUMERIC
@ATTRIBUTE volume31 NUMERIC
@ATTRIBUTE cotacao32 NUMERIC
@ATTRIBUTE high32 NUMERIC
@ATTRIBUTE low32 NUMERIC
@ATTRIBUTE open32 NUMERIC
@ATTRIBUTE volume32 NUMERIC
@ATTRIBUTE cotacao33 NUMERIC
@ATTRIBUTE high33 NUMERIC
@ATTRIBUTE low33 NUMERIC
@ATTRIBUTE open33 NUMERIC
@ATTRIBUTE volume33 NUMERIC
@ATTRIBUTE cotacao34 NUMERIC
@ATTRIBUTE high34 NUMERIC
@ATTRIBUTE low34 NUMERIC
@ATTRIBUTE open34 NUMERIC
@ATTRIBUTE volume34 NUMERIC
@ATTRIBUTE cotacao35 NUMERIC
@ATTRIBUTE high35 NUMERIC
@ATTRIBUTE low35 NUMERIC
@ATTRIBUTE open35 NUMERIC
@ATTRIBUTE volume35 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8932,8.0337,7.7982,8.0337,7264585.9498,8.0172,8.0544,7.8767,8.0544,5437342.2923,8.0585,8.0585,7.9222,8.0131,4720302.0151,7.9759,8.0172,7.7279,7.8354,4122983.409,7.8519,7.885,7.5502,7.8684,31397685.798,7.856,8.0172,7.8395,7.9304,9825835.0522,8.0172,8.1247,7.9346,8.104,3128828.4543,8.1412,8.1825,7.885,7.9387,4195678.8258,8.0337,8.0585,7.7651,7.9552,17854482.6939,0
8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8932,8.0337,7.7982,8.0337,7264585.9498,8.0172,8.0544,7.8767,8.0544,5437342.2923,8.0585,8.0585,7.9222,8.0131,4720302.0151,7.9759,8.0172,7.7279,7.8354,4122983.409,7.8519,7.885,7.5502,7.8684,31397685.798,7.856,8.0172,7.8395,7.9304,9825835.0522,8.0172,8.1247,7.9346,8.104,3128828.4543,7.8519,8.0585,7.8023,7.98,15461014.7685,1
7.8519,8.0585,7.8023,7.98,15461014.7685,8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8932,8.0337,7.7982,8.0337,7264585.9498,8.0172,8.0544,7.8767,8.0544,5437342.2923,8.0585,8.0585,7.9222,8.0131,4720302.0151,7.9759,8.0172,7.7279,7.8354,4122983.409,7.8519,7.885,7.5502,7.8684,31397685.798,7.856,8.0172,7.8395,7.9304,9825835.0522,8.0337,8.0337,7.9222,7.9222,4453077.0311,0
8.0337,8.0337,7.9222,7.9222,4453077.0311,7.8519,8.0585,7.8023,7.98,15461014.7685,8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8932,8.0337,7.7982,8.0337,7264585.9498,8.0172,8.0544,7.8767,8.0544,5437342.2923,8.0585,8.0585,7.9222,8.0131,4720302.0151,7.9759,8.0172,7.7279,7.8354,4122983.409,7.8519,7.885,7.5502,7.8684,31397685.798,7.9139,8.009,7.9098,8.0007,4917839.3847,0
7.9139,8.009,7.9098,8.0007,4917839.3847,8.0337,8.0337,7.9222,7.9222,4453077.0311,7.8519,8.0585,7.8023,7.98,15461014.7685,8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8932,8.0337,7.7982,8.0337,7264585.9498,8.0172,8.0544,7.8767,8.0544,5437342.2923,8.0585,8.0585,7.9222,8.0131,4720302.0151,7.9759,8.0172,7.7279,7.8354,4122983.409,8.0379,8.1577,7.9387,7.9387,15957234.4292,0
8.0379,8.1577,7.9387,7.9387,15957234.4292,7.9139,8.009,7.9098,8.0007,4917839.3847,8.0337,8.0337,7.9222,7.9222,4453077.0311,7.8519,8.0585,7.8023,7.98,15461014.7685,8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8932,8.0337,7.7982,8.0337,7264585.9498,8.0172,8.0544,7.8767,8.0544,5437342.2923,8.0585,8.0585,7.9222,8.0131,4720302.0151,8.1205,8.1784,7.9759,8.1784,8217069.6517,0
8.1205,8.1784,7.9759,8.1784,8217069.6517,8.0379,8.1577,7.9387,7.9387,15957234.4292,7.9139,8.009,7.9098,8.0007,4917839.3847,8.0337,8.0337,7.9222,7.9222,4453077.0311,7.8519,8.0585,7.8023,7.98,15461014.7685,8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8932,8.0337,7.7982,8.0337,7264585.9498,8.0172,8.0544,7.8767,8.0544,5437342.2923,7.9924,8.199,7.9635,8.199,4149228.4822,0
7.9924,8.199,7.9635,8.199,4149228.4822,8.1205,8.1784,7.9759,8.1784,8217069.6517,8.0379,8.1577,7.9387,7.9387,15957234.4292,7.9139,8.009,7.9098,8.0007,4917839.3847,8.0337,8.0337,7.9222,7.9222,4453077.0311,7.8519,8.0585,7.8023,7.98,15461014.7685,8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,7.8932,8.0337,7.7982,8.0337,7264585.9498,7.9346,8.1288,7.885,7.9304,4582669.0372,0
7.9346,8.1288,7.885,7.9304,4582669.0372,7.9924,8.199,7.9635,8.199,4149228.4822,8.1205,8.1784,7.9759,8.1784,8217069.6517,8.0379,8.1577,7.9387,7.9387,15957234.4292,7.9139,8.009,7.9098,8.0007,4917839.3847,8.0337,8.0337,7.9222,7.9222,4453077.0311,7.8519,8.0585,7.8023,7.98,15461014.7685,8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,7.9346,7.9346,7.7734,7.8312,5809975.8727,8.2652,8.2652,7.8974,7.9346,14087886.3761,0
8.2652,8.2652,7.8974,7.9346,14087886.3761,7.9346,8.1288,7.885,7.9304,4582669.0372,7.9924,8.199,7.9635,8.199,4149228.4822,8.1205,8.1784,7.9759,8.1784,8217069.6517,8.0379,8.1577,7.9387,7.9387,15957234.4292,7.9139,8.009,7.9098,8.0007,4917839.3847,8.0337,8.0337,7.9222,7.9222,4453077.0311,7.8519,8.0585,7.8023,7.98,15461014.7685,8.0337,8.0585,7.7651,7.9552,17854482.6939,7.9552,8.0875,7.8312,7.8767,7346982.3162,8.0337,8.1123,7.6453,7.8312,30740194.2031,7.542,7.7031,7.4015,7.7031,10682657.0833,7.761,7.7899,7.5461,7.7693,10738491.3835,7.7651,7.9924,7.6949,7.9924,3056653.2929,7.7651,7.9842,7.6577,7.7238,6030878.7622,7.7279,7.9346,7.6742,7.856,4505378.4338,7.7651,7.8436,7.637,7.7238,9742787.7615,7.8023,7.9139,7.6081,7.8271,3599710.4641,7.8767,7.9056,7.7651,7.8974,5559590.2272,7.9511,7.9635,7.6494,7.8974,6302072.2065,7.761,8.0875,7.6783,8.0172,8071632.8419,8.0585,8.0585,7.7362,7.8519,18711481.3699,7.8808,7.9263,7.6825,7.7693,5145745.1547,7.7651,7.9387,7.5172,7.9387,12988499.4699,7.8106,8.0007,7.7155,7.9387,5096906.4756,7.8354,8.0833,7.8189,7.9718,4691271.7602,8.0172,8.166,7.9552,8.0999,17216523.6668,8.0999,8.1619,7.9924,8.0213,7348802.0004,7.9552,8.2569,7.8684,8.0833,5882368.8155,8.0999,8.0999,7.5213,7.5213,11998910.6644,7.4965,7.6453,7.4717,7.5213,8100897.8167,7.5626,7.7403,7.5585,7.7403,15223170.9093,7.7858,7.9056,7.7734,7.9056,4357289.531,7.8106,7.8478,7.7569,7.8478,5923877.9421,7.8519,7.9304,7.6866,7.9304,7543716.3146,8.2652,8.2652,8.0999,8.2569,3396273.6395,0
