@RELATION "B3 - USIM3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl26 NUMERIC
@ATTRIBUTE pvpa26 NUMERIC
@ATTRIBUTE psr26 NUMERIC
@ATTRIBUTE roe26 NUMERIC
@ATTRIBUTE ev_ebit26 NUMERIC
@ATTRIBUTE pl27 NUMERIC
@ATTRIBUTE pvpa27 NUMERIC
@ATTRIBUTE psr27 NUMERIC
@ATTRIBUTE roe27 NUMERIC
@ATTRIBUTE ev_ebit27 NUMERIC
@ATTRIBUTE pl28 NUMERIC
@ATTRIBUTE pvpa28 NUMERIC
@ATTRIBUTE psr28 NUMERIC
@ATTRIBUTE roe28 NUMERIC
@ATTRIBUTE ev_ebit28 NUMERIC
@ATTRIBUTE pl29 NUMERIC
@ATTRIBUTE pvpa29 NUMERIC
@ATTRIBUTE psr29 NUMERIC
@ATTRIBUTE roe29 NUMERIC
@ATTRIBUTE ev_ebit29 NUMERIC
@ATTRIBUTE pl30 NUMERIC
@ATTRIBUTE pvpa30 NUMERIC
@ATTRIBUTE psr30 NUMERIC
@ATTRIBUTE roe30 NUMERIC
@ATTRIBUTE ev_ebit30 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,108.0625,1.4573,2.3948,0.0135,35.476,106.4497,1.4355,2.359,0.0135,34.9465,108.6002,1.4645,2.4067,0.0135,35.6525,106.9873,1.4428,2.3709,0.0135,35.123,105.912,1.4283,2.3471,0.0135,34.7701,108.6002,1.4645,2.4067,0.0135,35.6525,105.9658,1.429,2.3483,0.0135,34.7877,102.6863,1.3848,2.2756,0.0135,33.7111,115.4393,1.2612,2.1001,0.0109,40.2068,17.35,0
115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,108.0625,1.4573,2.3948,0.0135,35.476,106.4497,1.4355,2.359,0.0135,34.9465,108.6002,1.4645,2.4067,0.0135,35.6525,106.9873,1.4428,2.3709,0.0135,35.123,105.912,1.4283,2.3471,0.0135,34.7701,108.6002,1.4645,2.4067,0.0135,35.6525,105.9658,1.429,2.3483,0.0135,34.7877,112.046,1.2241,2.0383,0.0109,39.025,16.84,0
112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,108.0625,1.4573,2.3948,0.0135,35.476,106.4497,1.4355,2.359,0.0135,34.9465,108.6002,1.4645,2.4067,0.0135,35.6525,106.9873,1.4428,2.3709,0.0135,35.123,105.912,1.4283,2.3471,0.0135,34.7701,108.6002,1.4645,2.4067,0.0135,35.6525,110.4492,1.2067,2.0093,0.0109,38.4688,16.6,0
110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,108.0625,1.4573,2.3948,0.0135,35.476,106.4497,1.4355,2.359,0.0135,34.9465,108.6002,1.4645,2.4067,0.0135,35.6525,106.9873,1.4428,2.3709,0.0135,35.123,105.912,1.4283,2.3471,0.0135,34.7701,110.2496,1.2045,2.0056,0.0109,38.3993,16.57,0
110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,108.0625,1.4573,2.3948,0.0135,35.476,106.4497,1.4355,2.359,0.0135,34.9465,108.6002,1.4645,2.4067,0.0135,35.6525,106.9873,1.4428,2.3709,0.0135,35.123,109.8503,1.2001,1.9984,0.0109,38.2602,16.51,0
109.8503,1.2001,1.9984,0.0109,38.2602,110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,108.0625,1.4573,2.3948,0.0135,35.476,106.4497,1.4355,2.359,0.0135,34.9465,108.6002,1.4645,2.4067,0.0135,35.6525,103.7291,1.1333,1.887,0.0109,36.1282,15.59,0
103.7291,1.1333,1.887,0.0109,36.1282,109.8503,1.2001,1.9984,0.0109,38.2602,110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,108.0625,1.4573,2.3948,0.0135,35.476,106.4497,1.4355,2.359,0.0135,34.9465,102.731,1.1224,1.8689,0.0109,35.7806,15.44,0
102.731,1.1224,1.8689,0.0109,35.7806,103.7291,1.1333,1.887,0.0109,36.1282,109.8503,1.2001,1.9984,0.0109,38.2602,110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,108.0625,1.4573,2.3948,0.0135,35.476,95.2125,1.0402,1.7321,0.0109,33.162,14.31,0
95.2125,1.0402,1.7321,0.0109,33.162,102.731,1.1224,1.8689,0.0109,35.7806,103.7291,1.1333,1.887,0.0109,36.1282,109.8503,1.2001,1.9984,0.0109,38.2602,110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,100.7508,1.3587,2.2327,0.0135,33.0757,88.4259,0.9661,1.6086,0.0109,30.7982,13.29,0
88.4259,0.9661,1.6086,0.0109,30.7982,95.2125,1.0402,1.7321,0.0109,33.162,102.731,1.1224,1.8689,0.0109,35.7806,103.7291,1.1333,1.887,0.0109,36.1282,109.8503,1.2001,1.9984,0.0109,38.2602,110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,102.5788,1.3833,2.2732,0.0135,33.6758,84.1676,0.9195,1.5312,0.0109,29.3151,12.65,0
84.1676,0.9195,1.5312,0.0109,29.3151,88.4259,0.9661,1.6086,0.0109,30.7982,95.2125,1.0402,1.7321,0.0109,33.162,102.731,1.1224,1.8689,0.0109,35.7806,103.7291,1.1333,1.887,0.0109,36.1282,109.8503,1.2001,1.9984,0.0109,38.2602,110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,102.1487,1.3775,2.2637,0.0135,33.5346,84.5668,0.9239,1.5384,0.0109,29.4541,12.71,0
84.5668,0.9239,1.5384,0.0109,29.4541,84.1676,0.9195,1.5312,0.0109,29.3151,88.4259,0.9661,1.6086,0.0109,30.7982,95.2125,1.0402,1.7321,0.0109,33.162,102.731,1.1224,1.8689,0.0109,35.7806,103.7291,1.1333,1.887,0.0109,36.1282,109.8503,1.2001,1.9984,0.0109,38.2602,110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,104.2992,1.4065,2.3114,0.0135,34.2406,83.1696,0.9086,1.513,0.0109,28.9675,12.5,0
83.1696,0.9086,1.513,0.0109,28.9675,84.5668,0.9239,1.5384,0.0109,29.4541,84.1676,0.9195,1.5312,0.0109,29.3151,88.4259,0.9661,1.6086,0.0109,30.7982,95.2125,1.0402,1.7321,0.0109,33.162,102.731,1.1224,1.8689,0.0109,35.7806,103.7291,1.1333,1.887,0.0109,36.1282,109.8503,1.2001,1.9984,0.0109,38.2602,110.2496,1.2045,2.0056,0.0109,38.3993,110.4492,1.2067,2.0093,0.0109,38.4688,112.046,1.2241,2.0383,0.0109,39.025,115.4393,1.2612,2.1001,0.0109,40.2068,116.9697,1.2779,2.1279,0.0109,40.7398,123.4236,1.3484,2.2453,0.0109,42.9877,122.7583,1.3412,2.2332,0.0109,42.756,121.0949,1.323,2.2029,0.0109,42.1766,122.3591,1.3368,2.2259,0.0109,42.6169,122.1594,1.3346,2.2223,0.0109,42.5474,119.9638,1.3106,2.1824,0.0109,41.7827,116.7035,1.275,2.1231,0.0109,40.6471,94.6219,1.276,2.0969,0.0135,31.0636,98.1165,1.3231,2.1743,0.0135,32.2108,97.31,1.3123,2.1565,0.0135,31.9461,96.7724,1.305,2.1446,0.0135,31.7696,92.4714,1.247,2.0492,0.0135,30.3576,90.536,1.2209,2.0064,0.0135,29.7222,91.7187,1.2369,2.0326,0.0135,30.1105,90.8585,1.2253,2.0135,0.0135,29.8281,95.966,1.2941,2.1267,0.0135,31.5048,103.654,1.3978,2.2971,0.0135,34.0288,79.5101,0.8687,1.4464,0.0109,27.6929,11.95,0
