@RELATION "B3 - CPFE3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl26 NUMERIC
@ATTRIBUTE pvpa26 NUMERIC
@ATTRIBUTE psr26 NUMERIC
@ATTRIBUTE roe26 NUMERIC
@ATTRIBUTE ev_ebit26 NUMERIC
@ATTRIBUTE pl27 NUMERIC
@ATTRIBUTE pvpa27 NUMERIC
@ATTRIBUTE psr27 NUMERIC
@ATTRIBUTE roe27 NUMERIC
@ATTRIBUTE ev_ebit27 NUMERIC
@ATTRIBUTE pl28 NUMERIC
@ATTRIBUTE pvpa28 NUMERIC
@ATTRIBUTE psr28 NUMERIC
@ATTRIBUTE roe28 NUMERIC
@ATTRIBUTE ev_ebit28 NUMERIC
@ATTRIBUTE pl29 NUMERIC
@ATTRIBUTE pvpa29 NUMERIC
@ATTRIBUTE psr29 NUMERIC
@ATTRIBUTE roe29 NUMERIC
@ATTRIBUTE ev_ebit29 NUMERIC
@ATTRIBUTE pl30 NUMERIC
@ATTRIBUTE pvpa30 NUMERIC
@ATTRIBUTE psr30 NUMERIC
@ATTRIBUTE roe30 NUMERIC
@ATTRIBUTE ev_ebit30 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,20.0501,4.3419,25763.8605,0.2166,19.7725,19.6729,4.2602,25279.1304,0.2166,19.4005,19.7725,4.2818,25407.1723,0.2166,19.4988,20.1996,4.3742,25955.9234,0.2166,19.9199,19.5377,4.2309,25105.3593,0.2166,19.2671,19.7156,4.2694,25334.0055,0.2166,19.4426,19.8295,4.2941,25480.3391,0.2166,19.5549,20.0359,4.3388,25745.5688,0.2166,19.7585,19.3367,3.8308,24053.5865,0.1981,19.1647,24.8624,0
19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,20.0501,4.3419,25763.8605,0.2166,19.7725,19.6729,4.2602,25279.1304,0.2166,19.4005,19.7725,4.2818,25407.1723,0.2166,19.4988,20.1996,4.3742,25955.9234,0.2166,19.9199,19.5377,4.2309,25105.3593,0.2166,19.2671,19.7156,4.2694,25334.0055,0.2166,19.4426,19.8295,4.2941,25480.3391,0.2166,19.5549,19.3367,3.8308,24053.5865,0.1981,19.1647,24.8624,0
19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,20.0501,4.3419,25763.8605,0.2166,19.7725,19.6729,4.2602,25279.1304,0.2166,19.4005,19.7725,4.2818,25407.1723,0.2166,19.4988,20.1996,4.3742,25955.9234,0.2166,19.9199,19.5377,4.2309,25105.3593,0.2166,19.2671,19.7156,4.2694,25334.0055,0.2166,19.4426,18.6235,3.6895,23166.439,0.1981,18.4578,23.9454,0
18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,20.0501,4.3419,25763.8605,0.2166,19.7725,19.6729,4.2602,25279.1304,0.2166,19.4005,19.7725,4.2818,25407.1723,0.2166,19.4988,20.1996,4.3742,25955.9234,0.2166,19.9199,19.5377,4.2309,25105.3593,0.2166,19.2671,18.6308,3.6909,23175.5848,0.1981,18.4651,23.9549,0
18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,20.0501,4.3419,25763.8605,0.2166,19.7725,19.6729,4.2602,25279.1304,0.2166,19.4005,19.7725,4.2818,25407.1723,0.2166,19.4988,20.1996,4.3742,25955.9234,0.2166,19.9199,19.0132,3.7667,23651.1691,0.1981,18.8441,24.4465,0
19.0132,3.7667,23651.1691,0.1981,18.8441,18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,20.0501,4.3419,25763.8605,0.2166,19.7725,19.6729,4.2602,25279.1304,0.2166,19.4005,19.7725,4.2818,25407.1723,0.2166,19.4988,18.7117,3.707,23276.1892,0.1981,18.5453,24.0589,0
18.7117,3.707,23276.1892,0.1981,18.5453,19.0132,3.7667,23651.1691,0.1981,18.8441,18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,20.0501,4.3419,25763.8605,0.2166,19.7725,19.6729,4.2602,25279.1304,0.2166,19.4005,18.6456,3.6939,23193.8765,0.1981,18.4797,23.9738,0
18.6456,3.6939,23193.8765,0.1981,18.4797,18.7117,3.707,23276.1892,0.1981,18.5453,19.0132,3.7667,23651.1691,0.1981,18.8441,18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,20.0501,4.3419,25763.8605,0.2166,19.7725,18.0132,3.5686,22407.3334,0.1981,17.853,23.1608,0
18.0132,3.5686,22407.3334,0.1981,17.853,18.6456,3.6939,23193.8765,0.1981,18.4797,18.7117,3.707,23276.1892,0.1981,18.5453,19.0132,3.7667,23651.1691,0.1981,18.8441,18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,19.8508,4.2987,25507.7767,0.2166,19.576,18.1088,3.5875,22526.2295,0.1981,17.9478,23.2837,0
18.1088,3.5875,22526.2295,0.1981,17.9478,18.0132,3.5686,22407.3334,0.1981,17.853,18.6456,3.6939,23193.8765,0.1981,18.4797,18.7117,3.707,23276.1892,0.1981,18.5453,19.0132,3.7667,23651.1691,0.1981,18.8441,18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,20.0003,4.3311,25699.8395,0.2166,19.7234,17.8221,3.5307,22169.5413,0.1981,17.6636,22.915,0
17.8221,3.5307,22169.5413,0.1981,17.6636,18.1088,3.5875,22526.2295,0.1981,17.9478,18.0132,3.5686,22407.3334,0.1981,17.853,18.6456,3.6939,23193.8765,0.1981,18.4797,18.7117,3.707,23276.1892,0.1981,18.5453,19.0132,3.7667,23651.1691,0.1981,18.8441,18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,19.4309,4.2078,24968.1715,0.2166,19.1619,17.7265,3.5118,22050.6452,0.1981,17.5688,22.7921,0
17.7265,3.5118,22050.6452,0.1981,17.5688,17.8221,3.5307,22169.5413,0.1981,17.6636,18.1088,3.5875,22526.2295,0.1981,17.9478,18.0132,3.5686,22407.3334,0.1981,17.853,18.6456,3.6939,23193.8765,0.1981,18.4797,18.7117,3.707,23276.1892,0.1981,18.5453,19.0132,3.7667,23651.1691,0.1981,18.8441,18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,19.1462,4.1461,24602.3375,0.2166,18.8811,17.5206,3.471,21794.5614,0.1981,17.3648,22.5274,0
17.5206,3.471,21794.5614,0.1981,17.3648,17.7265,3.5118,22050.6452,0.1981,17.5688,17.8221,3.5307,22169.5413,0.1981,17.6636,18.1088,3.5875,22526.2295,0.1981,17.9478,18.0132,3.5686,22407.3334,0.1981,17.853,18.6456,3.6939,23193.8765,0.1981,18.4797,18.7117,3.707,23276.1892,0.1981,18.5453,19.0132,3.7667,23651.1691,0.1981,18.8441,18.6308,3.6909,23175.5848,0.1981,18.4651,18.6235,3.6895,23166.439,0.1981,18.4578,19.3367,3.8308,24053.5865,0.1981,19.1647,19.3367,3.8308,24053.5865,0.1981,19.1647,19.1382,3.7914,23806.6485,0.1981,18.9679,19.3073,3.8249,24017.0031,0.1981,19.1355,18.648,4.0382,23962.128,0.2166,18.3898,18.7761,4.066,24126.7533,0.2166,18.5161,18.8045,4.0722,24163.3367,0.2166,18.5442,19.2102,4.16,24684.6502,0.2166,18.9443,18.9682,4.1076,24373.6912,0.2166,18.7056,18.9113,4.0953,24300.5244,0.2166,18.6495,18.4914,4.0043,23760.9193,0.2166,18.2353,18.6764,4.0444,23998.7114,0.2166,18.4178,18.3348,3.9704,23559.7106,0.2166,18.0809,18.0003,3.898,23129.8556,0.2166,17.751,18.1568,3.9319,23331.0643,0.2166,17.9055,18.1996,3.9411,23385.9394,0.2166,17.9476,18.2921,3.9612,23504.8355,0.2166,18.0388,18.2351,3.9488,23431.6687,0.2166,17.9827,18.2921,3.9612,23504.8355,0.2166,18.0388,18.5056,4.0074,23779.211,0.2166,18.2494,17.9618,3.5584,22343.3125,0.1981,17.802,23.0946,0
