@RELATION "B3 - GGBR3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao5 NUMERIC
@ATTRIBUTE high5 NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE open5 NUMERIC
@ATTRIBUTE volume5 NUMERIC
@ATTRIBUTE cotacao6 NUMERIC
@ATTRIBUTE high6 NUMERIC
@ATTRIBUTE low6 NUMERIC
@ATTRIBUTE open6 NUMERIC
@ATTRIBUTE volume6 NUMERIC
@ATTRIBUTE cotacao7 NUMERIC
@ATTRIBUTE high7 NUMERIC
@ATTRIBUTE low7 NUMERIC
@ATTRIBUTE open7 NUMERIC
@ATTRIBUTE volume7 NUMERIC
@ATTRIBUTE cotacao8 NUMERIC
@ATTRIBUTE high8 NUMERIC
@ATTRIBUTE low8 NUMERIC
@ATTRIBUTE open8 NUMERIC
@ATTRIBUTE volume8 NUMERIC
@ATTRIBUTE cotacao9 NUMERIC
@ATTRIBUTE high9 NUMERIC
@ATTRIBUTE low9 NUMERIC
@ATTRIBUTE open9 NUMERIC
@ATTRIBUTE volume9 NUMERIC
@ATTRIBUTE cotacao10 NUMERIC
@ATTRIBUTE high10 NUMERIC
@ATTRIBUTE low10 NUMERIC
@ATTRIBUTE open10 NUMERIC
@ATTRIBUTE volume10 NUMERIC
@ATTRIBUTE cotacao11 NUMERIC
@ATTRIBUTE high11 NUMERIC
@ATTRIBUTE low11 NUMERIC
@ATTRIBUTE open11 NUMERIC
@ATTRIBUTE volume11 NUMERIC
@ATTRIBUTE cotacao12 NUMERIC
@ATTRIBUTE high12 NUMERIC
@ATTRIBUTE low12 NUMERIC
@ATTRIBUTE open12 NUMERIC
@ATTRIBUTE volume12 NUMERIC
@ATTRIBUTE cotacao13 NUMERIC
@ATTRIBUTE high13 NUMERIC
@ATTRIBUTE low13 NUMERIC
@ATTRIBUTE open13 NUMERIC
@ATTRIBUTE volume13 NUMERIC
@ATTRIBUTE cotacao14 NUMERIC
@ATTRIBUTE high14 NUMERIC
@ATTRIBUTE low14 NUMERIC
@ATTRIBUTE open14 NUMERIC
@ATTRIBUTE volume14 NUMERIC
@ATTRIBUTE cotacao15 NUMERIC
@ATTRIBUTE high15 NUMERIC
@ATTRIBUTE low15 NUMERIC
@ATTRIBUTE open15 NUMERIC
@ATTRIBUTE volume15 NUMERIC
@ATTRIBUTE cotacao16 NUMERIC
@ATTRIBUTE high16 NUMERIC
@ATTRIBUTE low16 NUMERIC
@ATTRIBUTE open16 NUMERIC
@ATTRIBUTE volume16 NUMERIC
@ATTRIBUTE cotacao17 NUMERIC
@ATTRIBUTE high17 NUMERIC
@ATTRIBUTE low17 NUMERIC
@ATTRIBUTE open17 NUMERIC
@ATTRIBUTE volume17 NUMERIC
@ATTRIBUTE cotacao18 NUMERIC
@ATTRIBUTE high18 NUMERIC
@ATTRIBUTE low18 NUMERIC
@ATTRIBUTE open18 NUMERIC
@ATTRIBUTE volume18 NUMERIC
@ATTRIBUTE cotacao19 NUMERIC
@ATTRIBUTE high19 NUMERIC
@ATTRIBUTE low19 NUMERIC
@ATTRIBUTE open19 NUMERIC
@ATTRIBUTE volume19 NUMERIC
@ATTRIBUTE cotacao20 NUMERIC
@ATTRIBUTE high20 NUMERIC
@ATTRIBUTE low20 NUMERIC
@ATTRIBUTE open20 NUMERIC
@ATTRIBUTE volume20 NUMERIC
@ATTRIBUTE cotacao21 NUMERIC
@ATTRIBUTE high21 NUMERIC
@ATTRIBUTE low21 NUMERIC
@ATTRIBUTE open21 NUMERIC
@ATTRIBUTE volume21 NUMERIC
@ATTRIBUTE cotacao22 NUMERIC
@ATTRIBUTE high22 NUMERIC
@ATTRIBUTE low22 NUMERIC
@ATTRIBUTE open22 NUMERIC
@ATTRIBUTE volume22 NUMERIC
@ATTRIBUTE cotacao23 NUMERIC
@ATTRIBUTE high23 NUMERIC
@ATTRIBUTE low23 NUMERIC
@ATTRIBUTE open23 NUMERIC
@ATTRIBUTE volume23 NUMERIC
@ATTRIBUTE cotacao24 NUMERIC
@ATTRIBUTE high24 NUMERIC
@ATTRIBUTE low24 NUMERIC
@ATTRIBUTE open24 NUMERIC
@ATTRIBUTE volume24 NUMERIC
@ATTRIBUTE cotacao25 NUMERIC
@ATTRIBUTE high25 NUMERIC
@ATTRIBUTE low25 NUMERIC
@ATTRIBUTE open25 NUMERIC
@ATTRIBUTE volume25 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,14.8286,14.9524,14.2381,14.7619,1608880.3505,14.7905,14.9333,14.5524,14.5905,5194541.1015,14.6095,14.6095,13.9905,14.0,3738138.6011,13.8667,14.0476,13.8476,13.8952,2415984.9007,13.8952,14.0667,13.7143,13.781,1073816.1003,13.6571,13.781,13.4762,13.619,4653945.4513,13.381,13.5714,13.2286,13.4571,983153.8503,13.4286,13.8,13.3524,13.8,2431791.6007,13.3429,13.6,13.2952,13.6,687761.5502,0
13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,14.8286,14.9524,14.2381,14.7619,1608880.3505,14.7905,14.9333,14.5524,14.5905,5194541.1015,14.6095,14.6095,13.9905,14.0,3738138.6011,13.8667,14.0476,13.8476,13.8952,2415984.9007,13.8952,14.0667,13.7143,13.781,1073816.1003,13.6571,13.781,13.4762,13.619,4653945.4513,13.381,13.5714,13.2286,13.4571,983153.8503,14.0,14.0,13.1333,13.1333,1951166.7006,0
14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,14.8286,14.9524,14.2381,14.7619,1608880.3505,14.7905,14.9333,14.5524,14.5905,5194541.1015,14.6095,14.6095,13.9905,14.0,3738138.6011,13.8667,14.0476,13.8476,13.8952,2415984.9007,13.8952,14.0667,13.7143,13.781,1073816.1003,13.6571,13.781,13.4762,13.619,4653945.4513,13.7143,13.9714,13.419,13.5905,1145295.9003,0
13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,14.8286,14.9524,14.2381,14.7619,1608880.3505,14.7905,14.9333,14.5524,14.5905,5194541.1015,14.6095,14.6095,13.9905,14.0,3738138.6011,13.8667,14.0476,13.8476,13.8952,2415984.9007,13.8952,14.0667,13.7143,13.781,1073816.1003,13.6095,13.781,13.3524,13.5333,824999.7002,0
13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,14.8286,14.9524,14.2381,14.7619,1608880.3505,14.7905,14.9333,14.5524,14.5905,5194541.1015,14.6095,14.6095,13.9905,14.0,3738138.6011,13.8667,14.0476,13.8476,13.8952,2415984.9007,13.781,13.9905,13.6667,13.6667,909857.5503,0
13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,14.8286,14.9524,14.2381,14.7619,1608880.3505,14.7905,14.9333,14.5524,14.5905,5194541.1015,14.6095,14.6095,13.9905,14.0,3738138.6011,14.1714,14.2095,13.781,13.781,1627355.1005,0
14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,14.8286,14.9524,14.2381,14.7619,1608880.3505,14.7905,14.9333,14.5524,14.5905,5194541.1015,13.9524,14.3619,13.7524,13.8667,1864822.0505,0
13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,14.8286,14.9524,14.2381,14.7619,1608880.3505,14.0952,14.2476,13.9429,14.0095,1478284.5004,0
14.0952,14.2476,13.9429,14.0095,1478284.5004,13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,14.8667,14.9524,14.6952,14.7143,3890853.7511,13.7143,14.0381,13.4667,14.0381,1836707.2505,0
13.7143,14.0381,13.4667,14.0381,1836707.2505,14.0952,14.2476,13.9429,14.0095,1478284.5004,13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.8,15.0,14.7714,14.8286,2101231.6506,13.9619,13.9619,13.5048,13.5238,2963283.7508,0
13.9619,13.9619,13.5048,13.5238,2963283.7508,13.7143,14.0381,13.4667,14.0381,1836707.2505,14.0952,14.2476,13.9429,14.0095,1478284.5004,13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.5905,14.6952,14.4286,14.6952,806944.9502,14.1619,14.1619,13.7905,14.0571,809011.3502,0
14.1619,14.1619,13.7905,14.0571,809011.3502,13.9619,13.9619,13.5048,13.5238,2963283.7508,13.7143,14.0381,13.4667,14.0381,1836707.2505,14.0952,14.2476,13.9429,14.0095,1478284.5004,13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.3905,14.7524,14.1714,14.7524,1606091.5505,14.1524,14.3048,13.7429,13.7429,1961398.9506,0
14.1524,14.3048,13.7429,13.7429,1961398.9506,14.1619,14.1619,13.7905,14.0571,809011.3502,13.9619,13.9619,13.5048,13.5238,2963283.7508,13.7143,14.0381,13.4667,14.0381,1836707.2505,14.0952,14.2476,13.9429,14.0095,1478284.5004,13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,13.9905,14.1905,13.9143,14.1905,688075.5002,14.2857,14.2857,14.0381,14.219,612988.9502,0
14.2857,14.2857,14.0381,14.219,612988.9502,14.1524,14.3048,13.7429,13.7429,1961398.9506,14.1619,14.1619,13.7905,14.0571,809011.3502,13.9619,13.9619,13.5048,13.5238,2963283.7508,13.7143,14.0381,13.4667,14.0381,1836707.2505,14.0952,14.2476,13.9429,14.0095,1478284.5004,13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.3714,14.3714,14.0476,14.1524,3382286.251,14.1429,14.3714,13.8952,14.0476,2257077.9006,0
14.1429,14.3714,13.8952,14.0476,2257077.9006,14.2857,14.2857,14.0381,14.219,612988.9502,14.1524,14.3048,13.7429,13.7429,1961398.9506,14.1619,14.1619,13.7905,14.0571,809011.3502,13.9619,13.9619,13.5048,13.5238,2963283.7508,13.7143,14.0381,13.4667,14.0381,1836707.2505,14.0952,14.2476,13.9429,14.0095,1478284.5004,13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,14.5905,14.7619,14.4476,14.6762,2073254.4006,14.0476,14.219,13.819,13.9524,1892076.9005,0
14.0476,14.219,13.819,13.9524,1892076.9005,14.1429,14.3714,13.8952,14.0476,2257077.9006,14.2857,14.2857,14.0381,14.219,612988.9502,14.1524,14.3048,13.7429,13.7429,1961398.9506,14.1619,14.1619,13.7905,14.0571,809011.3502,13.9619,13.9619,13.5048,13.5238,2963283.7508,13.7143,14.0381,13.4667,14.0381,1836707.2505,14.0952,14.2476,13.9429,14.0095,1478284.5004,13.9524,14.3619,13.7524,13.8667,1864822.0505,14.1714,14.2095,13.781,13.781,1627355.1005,13.781,13.9905,13.6667,13.6667,909857.5503,13.6095,13.781,13.3524,13.5333,824999.7002,13.7143,13.9714,13.419,13.5905,1145295.9003,14.0,14.0,13.1333,13.1333,1951166.7006,13.3429,13.6,13.2952,13.6,687761.5502,13.2857,13.4952,13.0762,13.4762,2493885.4507,13.4762,13.5714,13.219,13.5048,5552054.5516,13.5238,13.6952,13.3429,13.5238,3147253.2009,13.5238,13.7143,13.3333,13.619,1064009.1003,13.7143,14.1905,13.5333,14.0571,3157158.9009,13.9524,14.1143,13.5143,13.6095,4417907.5513,13.581,14.0095,13.5238,14.0095,3897003.6011,14.0095,14.2762,13.5714,13.8476,1046022.6003,13.8762,14.2667,13.8095,14.219,988151.8503,14.219,14.7238,14.1524,14.6095,1179770.5503,13.8095,14.0476,13.7048,14.0476,1974541.8006,1
