@RELATION "B3 - VALE3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.1255,1.3509,2.9329,0.2636,3.8934,5.0775,1.3382,2.9055,0.2636,3.857,5.1255,1.3509,2.9329,0.2636,3.8934,4.8759,1.2851,2.7901,0.2636,3.7038,4.9347,1.3006,2.8237,0.2636,3.7484,4.9395,1.3018,2.8265,0.2636,3.7521,4.9215,1.2971,2.8162,0.2636,3.7384,4.9287,1.299,2.8203,0.2636,3.7439,5.1639,1.361,2.9549,0.2636,3.9226,43.02,0
5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.1255,1.3509,2.9329,0.2636,3.8934,5.0775,1.3382,2.9055,0.2636,3.857,5.1255,1.3509,2.9329,0.2636,3.8934,4.8759,1.2851,2.7901,0.2636,3.7038,4.9347,1.3006,2.8237,0.2636,3.7484,4.9395,1.3018,2.8265,0.2636,3.7521,4.9215,1.2971,2.8162,0.2636,3.7384,5.0619,1.3341,2.8965,0.2636,3.8451,42.17,0
5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.1255,1.3509,2.9329,0.2636,3.8934,5.0775,1.3382,2.9055,0.2636,3.857,5.1255,1.3509,2.9329,0.2636,3.8934,4.8759,1.2851,2.7901,0.2636,3.7038,4.9347,1.3006,2.8237,0.2636,3.7484,4.9395,1.3018,2.8265,0.2636,3.7521,5.0487,1.3306,2.889,0.2636,3.8351,42.06,0
5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.1255,1.3509,2.9329,0.2636,3.8934,5.0775,1.3382,2.9055,0.2636,3.857,5.1255,1.3509,2.9329,0.2636,3.8934,4.8759,1.2851,2.7901,0.2636,3.7038,4.9347,1.3006,2.8237,0.2636,3.7484,4.9959,1.3167,2.8588,0.2636,3.795,41.62,0
4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.1255,1.3509,2.9329,0.2636,3.8934,5.0775,1.3382,2.9055,0.2636,3.857,5.1255,1.3509,2.9329,0.2636,3.8934,4.8759,1.2851,2.7901,0.2636,3.7038,4.9503,1.3047,2.8327,0.2636,3.7603,41.24,0
4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.1255,1.3509,2.9329,0.2636,3.8934,5.0775,1.3382,2.9055,0.2636,3.857,5.1255,1.3509,2.9329,0.2636,3.8934,4.9503,1.3047,2.8327,0.2636,3.7603,41.24,0
4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.1255,1.3509,2.9329,0.2636,3.8934,5.0775,1.3382,2.9055,0.2636,3.857,5.2648,1.3876,3.0126,0.2636,3.9992,43.86,0
5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.1255,1.3509,2.9329,0.2636,3.8934,5.2576,1.3857,3.0085,0.2636,3.9937,43.8,0
5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1579,1.3594,2.9515,0.2636,3.918,5.0607,1.3338,2.8958,0.2636,3.8442,42.16,0
5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.194,1.3689,2.9721,0.2636,3.9454,5.1687,1.3623,2.9577,0.2636,3.9263,43.06,0
5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1147,1.348,2.9268,0.2636,3.8852,5.2216,1.3762,2.9879,0.2636,3.9664,43.5,0
5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.0955,1.343,2.9158,0.2636,3.8706,5.1832,1.366,2.9659,0.2636,3.9372,43.18,0
5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,4.9899,1.3151,2.8553,0.2636,3.7904,5.1712,1.3629,2.959,0.2636,3.9281,43.08,0
5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,4.9875,1.3145,2.8539,0.2636,3.7886,5.1375,1.354,2.9398,0.2636,3.9025,42.8,0
5.1375,1.354,2.9398,0.2636,3.9025,5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0547,1.3322,2.8924,0.2636,3.8396,5.1495,1.3572,2.9467,0.2636,3.9117,42.9,0
5.1495,1.3572,2.9467,0.2636,3.9117,5.1375,1.354,2.9398,0.2636,3.9025,5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.0907,1.3417,2.913,0.2636,3.867,5.0751,1.3376,2.9041,0.2636,3.8551,42.28,0
5.0751,1.3376,2.9041,0.2636,3.8551,5.1495,1.3572,2.9467,0.2636,3.9117,5.1375,1.354,2.9398,0.2636,3.9025,5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,4.9935,1.3161,2.8574,0.2636,3.7931,5.8576,1.3059,3.0223,0.2229,4.4298,42.9,0
5.8576,1.3059,3.0223,0.2229,4.4298,5.0751,1.3376,2.9041,0.2636,3.8551,5.1495,1.3572,2.9467,0.2636,3.9117,5.1375,1.354,2.9398,0.2636,3.9025,5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.0607,1.3338,2.8958,0.2636,3.8442,5.8193,1.2974,3.0026,0.2229,4.4009,42.62,0
5.8193,1.2974,3.0026,0.2229,4.4009,5.8576,1.3059,3.0223,0.2229,4.4298,5.0751,1.3376,2.9041,0.2636,3.8551,5.1495,1.3572,2.9467,0.2636,3.9117,5.1375,1.354,2.9398,0.2636,3.9025,5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.1495,1.3572,2.9467,0.2636,3.9117,5.8166,1.2968,3.0012,0.2229,4.3988,42.6,0
5.8166,1.2968,3.0012,0.2229,4.3988,5.8193,1.2974,3.0026,0.2229,4.4009,5.8576,1.3059,3.0223,0.2229,4.4298,5.0751,1.3376,2.9041,0.2636,3.8551,5.1495,1.3572,2.9467,0.2636,3.9117,5.1375,1.354,2.9398,0.2636,3.9025,5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.2828,1.3923,3.0229,0.2636,4.0129,5.8985,1.315,3.0434,0.2229,4.4608,43.2,0
5.8985,1.315,3.0434,0.2229,4.4608,5.8166,1.2968,3.0012,0.2229,4.3988,5.8193,1.2974,3.0026,0.2229,4.4009,5.8576,1.3059,3.0223,0.2229,4.4298,5.0751,1.3376,2.9041,0.2636,3.8551,5.1495,1.3572,2.9467,0.2636,3.9117,5.1375,1.354,2.9398,0.2636,3.9025,5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.1639,1.361,2.9549,0.2636,3.9226,5.8384,1.3016,3.0124,0.2229,4.4154,42.76,0
5.8384,1.3016,3.0124,0.2229,4.4154,5.8985,1.315,3.0434,0.2229,4.4608,5.8166,1.2968,3.0012,0.2229,4.3988,5.8193,1.2974,3.0026,0.2229,4.4009,5.8576,1.3059,3.0223,0.2229,4.4298,5.0751,1.3376,2.9041,0.2636,3.8551,5.1495,1.3572,2.9467,0.2636,3.9117,5.1375,1.354,2.9398,0.2636,3.9025,5.1712,1.3629,2.959,0.2636,3.9281,5.1832,1.366,2.9659,0.2636,3.9372,5.2216,1.3762,2.9879,0.2636,3.9664,5.1687,1.3623,2.9577,0.2636,3.9263,5.0607,1.3338,2.8958,0.2636,3.8442,5.2576,1.3857,3.0085,0.2636,3.9937,5.2648,1.3876,3.0126,0.2636,3.9992,4.9503,1.3047,2.8327,0.2636,3.7603,4.9503,1.3047,2.8327,0.2636,3.7603,4.9959,1.3167,2.8588,0.2636,3.795,5.0487,1.3306,2.889,0.2636,3.8351,5.0619,1.3341,2.8965,0.2636,3.8451,5.6705,1.2642,2.9258,0.2229,4.2884,41.53,0
