@RELATION "B3 - GRND3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.8354,1.6685,2.0536,0.1696,16.0794,9.8453,1.6701,2.0556,0.1696,16.0955,9.7468,1.6534,2.0351,0.1696,15.9345,9.4318,1.6,1.9693,0.1696,15.4195,9.4022,1.595,1.9631,0.1696,15.3712,9.4219,1.5983,1.9672,0.1696,15.4034,9.3333,1.5833,1.9487,0.1696,15.2585,9.2546,1.5699,1.9323,0.1696,15.1298,9.5499,1.62,1.994,0.1696,15.6126,3.2333,1
9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.8354,1.6685,2.0536,0.1696,16.0794,9.8453,1.6701,2.0556,0.1696,16.0955,9.7468,1.6534,2.0351,0.1696,15.9345,9.4318,1.6,1.9693,0.1696,15.4195,9.4022,1.595,1.9631,0.1696,15.3712,9.4219,1.5983,1.9672,0.1696,15.4034,9.3333,1.5833,1.9487,0.1696,15.2585,9.5007,1.6117,1.9837,0.1696,15.5321,3.2167,1
9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.8354,1.6685,2.0536,0.1696,16.0794,9.8453,1.6701,2.0556,0.1696,16.0955,9.7468,1.6534,2.0351,0.1696,15.9345,9.4318,1.6,1.9693,0.1696,15.4195,9.4022,1.595,1.9631,0.1696,15.3712,9.4219,1.5983,1.9672,0.1696,15.4034,9.3727,1.59,1.957,0.1696,15.3229,3.1733,1
9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.8354,1.6685,2.0536,0.1696,16.0794,9.8453,1.6701,2.0556,0.1696,16.0955,9.7468,1.6534,2.0351,0.1696,15.9345,9.4318,1.6,1.9693,0.1696,15.4195,9.4022,1.595,1.9631,0.1696,15.3712,9.2546,1.5699,1.9323,0.1696,15.1298,3.1333,1
9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.8354,1.6685,2.0536,0.1696,16.0794,9.8453,1.6701,2.0556,0.1696,16.0955,9.7468,1.6534,2.0351,0.1696,15.9345,9.4318,1.6,1.9693,0.1696,15.4195,9.0577,1.5365,1.8912,0.1696,14.8078,3.0667,1
9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.8354,1.6685,2.0536,0.1696,16.0794,9.8453,1.6701,2.0556,0.1696,16.0955,9.7468,1.6534,2.0351,0.1696,15.9345,9.2939,1.5766,1.9405,0.1696,15.1941,3.1467,1
9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.8354,1.6685,2.0536,0.1696,16.0794,9.8453,1.6701,2.0556,0.1696,16.0955,9.1561,1.5532,1.9117,0.1696,14.9688,3.1,1
9.1561,1.5532,1.9117,0.1696,14.9688,9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.8354,1.6685,2.0536,0.1696,16.0794,9.0281,1.5315,1.885,0.1696,14.7596,3.0567,1
9.0281,1.5315,1.885,0.1696,14.7596,9.1561,1.5532,1.9117,0.1696,14.9688,9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7862,1.6601,2.0433,0.1696,15.9989,9.0577,1.5365,1.8912,0.1696,14.8078,3.0667,1
9.0577,1.5365,1.8912,0.1696,14.8078,9.0281,1.5315,1.885,0.1696,14.7596,9.1561,1.5532,1.9117,0.1696,14.9688,9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.0577,1.5365,1.8912,0.1696,14.8078,3.0667,1
9.0577,1.5365,1.8912,0.1696,14.8078,9.0577,1.5365,1.8912,0.1696,14.8078,9.0281,1.5315,1.885,0.1696,14.7596,9.1561,1.5532,1.9117,0.1696,14.9688,9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,8.9592,1.5198,1.8706,0.1696,14.6469,3.0333,1
8.9592,1.5198,1.8706,0.1696,14.6469,9.0577,1.5365,1.8912,0.1696,14.8078,9.0577,1.5365,1.8912,0.1696,14.8078,9.0281,1.5315,1.885,0.1696,14.7596,9.1561,1.5532,1.9117,0.1696,14.9688,9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.7468,1.6534,2.0351,0.1696,15.9345,8.9494,1.5182,1.8686,0.1696,14.6308,3.03,1
8.9494,1.5182,1.8686,0.1696,14.6308,8.9592,1.5198,1.8706,0.1696,14.6469,9.0577,1.5365,1.8912,0.1696,14.8078,9.0577,1.5365,1.8912,0.1696,14.8078,9.0281,1.5315,1.885,0.1696,14.7596,9.1561,1.5532,1.9117,0.1696,14.9688,9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,9.7468,1.6534,2.0351,0.1696,15.9345,9.0084,1.5282,1.8809,0.1696,14.7274,3.05,1
9.0084,1.5282,1.8809,0.1696,14.7274,8.9494,1.5182,1.8686,0.1696,14.6308,8.9592,1.5198,1.8706,0.1696,14.6469,9.0577,1.5365,1.8912,0.1696,14.8078,9.0577,1.5365,1.8912,0.1696,14.8078,9.0281,1.5315,1.885,0.1696,14.7596,9.1561,1.5532,1.9117,0.1696,14.9688,9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.6484,1.6367,2.0145,0.1696,15.7736,8.9576,1.6175,1.8941,0.1806,14.1184,3.2167,1
8.9576,1.6175,1.8941,0.1806,14.1184,9.0084,1.5282,1.8809,0.1696,14.7274,8.9494,1.5182,1.8686,0.1696,14.6308,8.9592,1.5198,1.8706,0.1696,14.6469,9.0577,1.5365,1.8912,0.1696,14.8078,9.0577,1.5365,1.8912,0.1696,14.8078,9.0281,1.5315,1.885,0.1696,14.7596,9.1561,1.5532,1.9117,0.1696,14.9688,9.2939,1.5766,1.9405,0.1696,15.1941,9.0577,1.5365,1.8912,0.1696,14.8078,9.2546,1.5699,1.9323,0.1696,15.1298,9.3727,1.59,1.957,0.1696,15.3229,9.5007,1.6117,1.9837,0.1696,15.5321,9.5499,1.62,1.994,0.1696,15.6126,9.5893,1.6267,2.0022,0.1696,15.677,9.2268,1.6661,1.951,0.1806,14.5427,3.3133,1
