@RELATION "B3 - ABCB4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,13.1227,2.0655,2.5524,0.1574,7.7547,13.1706,2.073,2.5617,0.1574,7.783,13.2185,2.0806,2.571,0.1574,7.8113,13.2185,2.0806,2.571,0.1574,7.8113,12.8353,2.0203,2.4965,0.1574,7.5849,12.8257,2.0188,2.4946,0.1574,7.5792,12.8353,2.0203,2.4965,0.1574,7.5849,12.7587,2.0082,2.4816,0.1574,7.5396,12.8832,2.0278,2.5058,0.1574,7.6132,13.45,0
12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,13.1227,2.0655,2.5524,0.1574,7.7547,13.1706,2.073,2.5617,0.1574,7.783,13.2185,2.0806,2.571,0.1574,7.8113,13.2185,2.0806,2.571,0.1574,7.8113,12.8353,2.0203,2.4965,0.1574,7.5849,12.8257,2.0188,2.4946,0.1574,7.5792,12.8353,2.0203,2.4965,0.1574,7.5849,12.7204,2.0022,2.4742,0.1574,7.5169,13.28,0
12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,13.1227,2.0655,2.5524,0.1574,7.7547,13.1706,2.073,2.5617,0.1574,7.783,13.2185,2.0806,2.571,0.1574,7.8113,13.2185,2.0806,2.571,0.1574,7.8113,12.8353,2.0203,2.4965,0.1574,7.5849,12.8257,2.0188,2.4946,0.1574,7.5792,12.5384,1.9735,2.4388,0.1574,7.4094,13.09,1
12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,13.1227,2.0655,2.5524,0.1574,7.7547,13.1706,2.073,2.5617,0.1574,7.783,13.2185,2.0806,2.571,0.1574,7.8113,13.2185,2.0806,2.571,0.1574,7.8113,12.8353,2.0203,2.4965,0.1574,7.5849,12.548,1.975,2.4406,0.1574,7.4151,13.1,0
12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,13.1227,2.0655,2.5524,0.1574,7.7547,13.1706,2.073,2.5617,0.1574,7.783,13.2185,2.0806,2.571,0.1574,7.8113,13.2185,2.0806,2.571,0.1574,7.8113,12.3085,1.9373,2.394,0.1574,7.2735,12.85,0
12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,13.1227,2.0655,2.5524,0.1574,7.7547,13.1706,2.073,2.5617,0.1574,7.783,13.2185,2.0806,2.571,0.1574,7.8113,12.1169,1.9072,2.3568,0.1574,7.1603,12.65,0
12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,13.1227,2.0655,2.5524,0.1574,7.7547,13.1706,2.073,2.5617,0.1574,7.783,11.7146,1.8439,2.2785,0.1574,6.9226,12.23,0
11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,13.1227,2.0655,2.5524,0.1574,7.7547,11.82,1.8605,2.299,0.1574,6.9849,12.34,0
11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,13.1131,2.064,2.5505,0.1574,7.749,11.7817,1.8544,2.2916,0.1574,6.9622,12.3,0
11.7817,1.8544,2.2916,0.1574,6.9622,11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,13.5441,2.1318,2.6344,0.1574,8.0037,11.8774,1.8695,2.3102,0.1574,7.0188,12.4,0
11.8774,1.8695,2.3102,0.1574,7.0188,11.7817,1.8544,2.2916,0.1574,6.9622,11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,14.1284,2.2238,2.748,0.1574,8.349,11.6476,1.8333,2.2655,0.1574,6.883,12.16,0
11.6476,1.8333,2.2655,0.1574,6.883,11.8774,1.8695,2.3102,0.1574,7.0188,11.7817,1.8544,2.2916,0.1574,6.9622,11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,14.0326,2.2087,2.7294,0.1574,8.2924,11.6859,1.8393,2.2729,0.1574,6.9056,12.2,0
11.6859,1.8393,2.2729,0.1574,6.9056,11.6476,1.8333,2.2655,0.1574,6.883,11.8774,1.8695,2.3102,0.1574,7.0188,11.7817,1.8544,2.2916,0.1574,6.9622,11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,14.0326,2.2087,2.7294,0.1574,8.2924,12.1648,1.9147,2.3661,0.1574,7.1886,12.7,0
12.1648,1.9147,2.3661,0.1574,7.1886,11.6859,1.8393,2.2729,0.1574,6.9056,11.6476,1.8333,2.2655,0.1574,6.883,11.8774,1.8695,2.3102,0.1574,7.0188,11.7817,1.8544,2.2916,0.1574,6.9622,11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,14.32,2.254,2.7853,0.1574,8.4622,11.9828,1.8861,2.3307,0.1574,7.0811,12.51,0
11.9828,1.8861,2.3307,0.1574,7.0811,12.1648,1.9147,2.3661,0.1574,7.1886,11.6859,1.8393,2.2729,0.1574,6.9056,11.6476,1.8333,2.2655,0.1574,6.883,11.8774,1.8695,2.3102,0.1574,7.0188,11.7817,1.8544,2.2916,0.1574,6.9622,11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,14.1955,2.2344,2.7611,0.1574,8.3886,12.3564,1.9449,2.4034,0.1574,7.3018,12.9,0
12.3564,1.9449,2.4034,0.1574,7.3018,11.9828,1.8861,2.3307,0.1574,7.0811,12.1648,1.9147,2.3661,0.1574,7.1886,11.6859,1.8393,2.2729,0.1574,6.9056,11.6476,1.8333,2.2655,0.1574,6.883,11.8774,1.8695,2.3102,0.1574,7.0188,11.7817,1.8544,2.2916,0.1574,6.9622,11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,14.3583,2.26,2.7927,0.1574,8.4849,12.1169,1.9072,2.3568,0.1574,7.1603,12.65,0
12.1169,1.9072,2.3568,0.1574,7.1603,12.3564,1.9449,2.4034,0.1574,7.3018,11.9828,1.8861,2.3307,0.1574,7.0811,12.1648,1.9147,2.3661,0.1574,7.1886,11.6859,1.8393,2.2729,0.1574,6.9056,11.6476,1.8333,2.2655,0.1574,6.883,11.8774,1.8695,2.3102,0.1574,7.0188,11.7817,1.8544,2.2916,0.1574,6.9622,11.82,1.8605,2.299,0.1574,6.9849,11.7146,1.8439,2.2785,0.1574,6.9226,12.1169,1.9072,2.3568,0.1574,7.1603,12.3085,1.9373,2.394,0.1574,7.2735,12.548,1.975,2.4406,0.1574,7.4151,12.5384,1.9735,2.4388,0.1574,7.4094,12.7204,2.0022,2.4742,0.1574,7.5169,12.8832,2.0278,2.5058,0.1574,7.6132,13.343,2.1002,2.5953,0.1574,7.8849,13.2951,2.0926,2.5859,0.1574,7.8566,13.1706,2.073,2.5617,0.1574,7.783,13.0748,2.058,2.5431,0.1574,7.7264,13.2472,2.0851,2.5766,0.1574,7.8283,13.6016,2.1409,2.6456,0.1574,8.0377,13.8411,2.1786,2.6921,0.1574,8.1792,13.7932,2.171,2.6828,0.1574,8.1509,13.6016,2.1409,2.6456,0.1574,8.0377,11.9445,1.8801,2.3232,0.1574,7.0585,12.47,0
