@RELATION "B3 - HBOR3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,21.7174,5.4754,585.9753,0.2521,21.2135,22.4414,5.658,605.5078,0.2521,21.9206,23.1331,5.8324,624.1722,0.2521,22.5963,23.2457,5.8608,627.2106,0.2521,22.7063,23.3181,5.879,629.1638,0.2521,22.777,22.4735,5.6661,606.3759,0.2521,21.9521,22.2161,5.6012,599.431,0.2521,21.7006,21.9587,5.5363,592.4861,0.2521,21.4492,22.3207,5.6275,602.2523,0.2521,21.8028,35.5769,1
22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,21.7174,5.4754,585.9753,0.2521,21.2135,22.4414,5.658,605.5078,0.2521,21.9206,23.1331,5.8324,624.1722,0.2521,22.5963,23.2457,5.8608,627.2106,0.2521,22.7063,23.3181,5.879,629.1638,0.2521,22.777,22.4735,5.6661,606.3759,0.2521,21.9521,22.2161,5.6012,599.431,0.2521,21.7006,21.3555,5.3842,576.209,0.2521,20.86,34.0385,1
21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,21.7174,5.4754,585.9753,0.2521,21.2135,22.4414,5.658,605.5078,0.2521,21.9206,23.1331,5.8324,624.1722,0.2521,22.5963,23.2457,5.8608,627.2106,0.2521,22.7063,23.3181,5.879,629.1638,0.2521,22.777,22.4735,5.6661,606.3759,0.2521,21.9521,20.8005,5.2443,561.2341,0.2521,20.3178,33.1538,1
20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,21.7174,5.4754,585.9753,0.2521,21.2135,22.4414,5.658,605.5078,0.2521,21.9206,23.1331,5.8324,624.1722,0.2521,22.5963,23.2457,5.8608,627.2106,0.2521,22.7063,23.3181,5.879,629.1638,0.2521,22.777,20.3903,5.1408,550.1657,0.2521,19.9171,32.5,1
20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,21.7174,5.4754,585.9753,0.2521,21.2135,22.4414,5.658,605.5078,0.2521,21.9206,23.1331,5.8324,624.1722,0.2521,22.5963,23.2457,5.8608,627.2106,0.2521,22.7063,21.4761,5.4146,579.4644,0.2521,20.9778,34.2308,1
21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,21.7174,5.4754,585.9753,0.2521,21.2135,22.4414,5.658,605.5078,0.2521,21.9206,23.1331,5.8324,624.1722,0.2521,22.5963,20.9211,5.2747,564.4895,0.2521,20.4357,33.3462,1
20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,21.7174,5.4754,585.9753,0.2521,21.2135,22.4414,5.658,605.5078,0.2521,21.9206,20.2696,5.1104,546.9102,0.2521,19.7993,32.3077,1
20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,21.7174,5.4754,585.9753,0.2521,21.2135,18.9098,4.7055,823.1381,0.2488,18.2792,31.6154,1
18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,21.7335,5.4795,586.4093,0.2521,21.2292,18.1967,4.528,792.0952,0.2488,17.5898,30.4231,1
18.1967,4.528,792.0952,0.2488,17.5898,18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,22.1759,5.591,598.3458,0.2521,21.6614,17.7366,4.4135,772.0675,0.2488,17.1451,29.6538,1
17.7366,4.4135,772.0675,0.2488,17.1451,18.1967,4.528,792.0952,0.2488,17.5898,18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,21.7577,5.4856,587.0604,0.2521,21.2528,18.3807,4.5738,800.1063,0.2488,17.7677,30.7308,1
18.3807,4.5738,800.1063,0.2488,17.7677,17.7366,4.4135,772.0675,0.2488,17.1451,18.1967,4.528,792.0952,0.2488,17.5898,18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,22.0713,5.5647,595.5245,0.2521,21.5592,18.5187,4.6081,806.1146,0.2488,17.9011,30.9615,1
18.5187,4.6081,806.1146,0.2488,17.9011,18.3807,4.5738,800.1063,0.2488,17.7677,17.7366,4.4135,772.0675,0.2488,17.1451,18.1967,4.528,792.0952,0.2488,17.5898,18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,21.5968,5.445,582.7198,0.2521,21.0957,18.1737,4.5223,791.0938,0.2488,17.5676,30.3846,1
18.1737,4.5223,791.0938,0.2488,17.5676,18.5187,4.6081,806.1146,0.2488,17.9011,18.3807,4.5738,800.1063,0.2488,17.7677,17.7366,4.4135,772.0675,0.2488,17.1451,18.1967,4.528,792.0952,0.2488,17.5898,18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,21.7818,5.4917,587.7115,0.2521,21.2764,18.5648,4.6196,808.1174,0.2488,17.9456,31.0385,1
18.5648,4.6196,808.1174,0.2488,17.9456,18.1737,4.5223,791.0938,0.2488,17.5676,18.5187,4.6081,806.1146,0.2488,17.9011,18.3807,4.5738,800.1063,0.2488,17.7677,17.7366,4.4135,772.0675,0.2488,17.1451,18.1967,4.528,792.0952,0.2488,17.5898,18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,22.5459,5.6843,608.3291,0.2521,22.0228,19.3699,4.8199,843.1658,0.2488,18.7239,32.3846,1
19.3699,4.8199,843.1658,0.2488,18.7239,18.5648,4.6196,808.1174,0.2488,17.9456,18.1737,4.5223,791.0938,0.2488,17.5676,18.5187,4.6081,806.1146,0.2488,17.9011,18.3807,4.5738,800.1063,0.2488,17.7677,17.7366,4.4135,772.0675,0.2488,17.1451,18.1967,4.528,792.0952,0.2488,17.5898,18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,22.0392,5.5566,594.6564,0.2521,21.5278,19.3929,4.8257,844.1672,0.2488,18.7461,32.4231,1
19.3929,4.8257,844.1672,0.2488,18.7461,19.3699,4.8199,843.1658,0.2488,18.7239,18.5648,4.6196,808.1174,0.2488,17.9456,18.1737,4.5223,791.0938,0.2488,17.5676,18.5187,4.6081,806.1146,0.2488,17.9011,18.3807,4.5738,800.1063,0.2488,17.7677,17.7366,4.4135,772.0675,0.2488,17.1451,18.1967,4.528,792.0952,0.2488,17.5898,18.9098,4.7055,823.1381,0.2488,18.2792,20.2696,5.1104,546.9102,0.2521,19.7993,20.9211,5.2747,564.4895,0.2521,20.4357,21.4761,5.4146,579.4644,0.2521,20.9778,20.3903,5.1408,550.1657,0.2521,19.9171,20.8005,5.2443,561.2341,0.2521,20.3178,21.3555,5.3842,576.209,0.2521,20.86,22.3207,5.6275,602.2523,0.2521,21.8028,22.3207,5.6275,602.2523,0.2521,21.8028,22.4172,5.6519,604.8567,0.2521,21.8971,22.6344,5.7066,610.7164,0.2521,22.1092,22.755,5.7371,613.9719,0.2521,22.227,21.6692,5.4633,584.6731,0.2521,21.1664,21.6692,5.4633,584.6731,0.2521,21.1664,21.452,5.4085,578.8133,0.2521,20.9542,21.814,5.4998,588.5796,0.2521,21.3078,21.5003,5.4207,580.1155,0.2521,21.0014,19.1859,4.7741,835.1547,0.2488,18.546,32.0769,1
