@RELATION "B3 - UNIP6"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,2.1429,0
50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,50.0431,0.5838,0.0,0.0117,-38.7655,2.1429,1
50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,2.2143,0
51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,2.1429,0
50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,2.1429,0
50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,2.0714,1
48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,2.2143,0
51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,2.2143,0
51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,2.0714,1
48.375,0.5643,0.0,0.0117,-37.4734,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,50.0431,0.5838,0.0,0.0117,-38.7655,2.1429,1
50.0431,0.5838,0.0,0.0117,-38.7655,48.375,0.5643,0.0,0.0117,-37.4734,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,51.7112,0.6032,0.0,0.0117,-40.0577,2.2143,0
51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,48.375,0.5643,0.0,0.0117,-37.4734,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,53.3793,0.6227,0.0,0.0117,-41.3499,50.0431,0.5838,0.0,0.0117,-38.7655,2.1429,0
50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,48.375,0.5643,0.0,0.0117,-37.4734,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,53.3793,0.6227,0.0,0.0117,-41.3499,50.0431,0.5838,0.0,0.0117,-38.7655,2.1429,1
50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,48.375,0.5643,0.0,0.0117,-37.4734,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,2.2143,0
51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,48.375,0.5643,0.0,0.0117,-37.4734,51.7112,0.6032,0.0,0.0117,-40.0577,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,50.0431,0.5838,0.0,0.0117,-38.7655,50.0431,0.5838,0.0,0.0117,-38.7655,51.7112,0.6032,0.0,0.0117,-40.0577,48.375,0.5643,0.0,0.0117,-37.4734,2.0714,0
