@RELATION "B3 - POSI3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.6062,0.6149,0.2032,-0.1097,-7.7251,-5.7652,0.6323,0.2089,-0.1097,-7.9442,-5.8368,0.6401,0.2115,-0.1097,-8.0429,-5.7334,0.6288,0.2078,-0.1097,-7.9004,-5.7891,0.6349,0.2098,-0.1097,-7.9771,-5.646,0.6192,0.2046,-0.1097,-7.7799,-5.5108,0.6044,0.1997,-0.1097,-7.5936,-5.6221,0.6166,0.2037,-0.1097,-7.747,-5.5028,0.6035,0.1994,-0.1097,-7.5826,6.92,0
-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.6062,0.6149,0.2032,-0.1097,-7.7251,-5.7652,0.6323,0.2089,-0.1097,-7.9442,-5.8368,0.6401,0.2115,-0.1097,-8.0429,-5.7334,0.6288,0.2078,-0.1097,-7.9004,-5.7891,0.6349,0.2098,-0.1097,-7.9771,-5.646,0.6192,0.2046,-0.1097,-7.7799,-5.5108,0.6044,0.1997,-0.1097,-7.5936,-5.471,0.6,0.1983,-0.1097,-7.5388,6.88,1
-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.6062,0.6149,0.2032,-0.1097,-7.7251,-5.7652,0.6323,0.2089,-0.1097,-7.9442,-5.8368,0.6401,0.2115,-0.1097,-8.0429,-5.7334,0.6288,0.2078,-0.1097,-7.9004,-5.7891,0.6349,0.2098,-0.1097,-7.9771,-5.646,0.6192,0.2046,-0.1097,-7.7799,-5.4869,0.6018,0.1988,-0.1097,-7.5607,6.9,0
-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.6062,0.6149,0.2032,-0.1097,-7.7251,-5.7652,0.6323,0.2089,-0.1097,-7.9442,-5.8368,0.6401,0.2115,-0.1097,-8.0429,-5.7334,0.6288,0.2078,-0.1097,-7.9004,-5.7891,0.6349,0.2098,-0.1097,-7.9771,-5.4869,0.6018,0.1988,-0.1097,-7.5607,6.9,0
-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.6062,0.6149,0.2032,-0.1097,-7.7251,-5.7652,0.6323,0.2089,-0.1097,-7.9442,-5.8368,0.6401,0.2115,-0.1097,-8.0429,-5.7334,0.6288,0.2078,-0.1097,-7.9004,-5.4233,0.5948,0.1965,-0.1097,-7.4731,6.82,0
-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.6062,0.6149,0.2032,-0.1097,-7.7251,-5.7652,0.6323,0.2089,-0.1097,-7.9442,-5.8368,0.6401,0.2115,-0.1097,-8.0429,-5.4074,0.5931,0.196,-0.1097,-7.4511,6.8,0
-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.6062,0.6149,0.2032,-0.1097,-7.7251,-5.7652,0.6323,0.2089,-0.1097,-7.9442,-5.4074,0.5931,0.196,-0.1097,-7.4511,6.8,0
-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.6062,0.6149,0.2032,-0.1097,-7.7251,-5.3597,0.5878,0.1942,-0.1097,-7.3854,6.74,0
-5.3597,0.5878,0.1942,-0.1097,-7.3854,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.3517,0.5869,0.1939,-0.1097,-7.3744,6.73,0
-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.3597,0.5878,0.1942,-0.1097,-7.3854,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2643,0.5774,0.1908,-0.1097,-7.2539,-5.3279,0.5843,0.1931,-0.1097,-7.3416,6.7,0
-5.3279,0.5843,0.1931,-0.1097,-7.3416,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.3597,0.5878,0.1942,-0.1097,-7.3854,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.3835,0.5904,0.1951,-0.1097,-7.4183,-5.2881,0.58,0.1916,-0.1097,-7.2868,6.65,1
-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3279,0.5843,0.1931,-0.1097,-7.3416,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.3597,0.5878,0.1942,-0.1097,-7.3854,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3199,0.5835,0.1928,-0.1097,-7.3306,-5.4233,0.5948,0.1965,-0.1097,-7.4731,6.82,0
-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.3279,0.5843,0.1931,-0.1097,-7.3416,-5.3517,0.5869,0.1939,-0.1097,-7.3744,-5.3597,0.5878,0.1942,-0.1097,-7.3854,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4074,0.5931,0.196,-0.1097,-7.4511,-5.4233,0.5948,0.1965,-0.1097,-7.4731,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.4869,0.6018,0.1988,-0.1097,-7.5607,-5.471,0.6,0.1983,-0.1097,-7.5388,-5.5028,0.6035,0.1994,-0.1097,-7.5826,-5.5187,0.6053,0.2,-0.1097,-7.6046,-5.2563,0.5765,0.1905,-0.1097,-7.243,-5.2881,0.58,0.1916,-0.1097,-7.2868,-5.4153,0.5939,0.1963,-0.1097,-7.4621,6.81,0
