@RELATION "B3 - EQTL3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl11 NUMERIC
@ATTRIBUTE pvpa11 NUMERIC
@ATTRIBUTE psr11 NUMERIC
@ATTRIBUTE roe11 NUMERIC
@ATTRIBUTE ev_ebit11 NUMERIC
@ATTRIBUTE pl12 NUMERIC
@ATTRIBUTE pvpa12 NUMERIC
@ATTRIBUTE psr12 NUMERIC
@ATTRIBUTE roe12 NUMERIC
@ATTRIBUTE ev_ebit12 NUMERIC
@ATTRIBUTE pl13 NUMERIC
@ATTRIBUTE pvpa13 NUMERIC
@ATTRIBUTE psr13 NUMERIC
@ATTRIBUTE roe13 NUMERIC
@ATTRIBUTE ev_ebit13 NUMERIC
@ATTRIBUTE pl14 NUMERIC
@ATTRIBUTE pvpa14 NUMERIC
@ATTRIBUTE psr14 NUMERIC
@ATTRIBUTE roe14 NUMERIC
@ATTRIBUTE ev_ebit14 NUMERIC
@ATTRIBUTE pl15 NUMERIC
@ATTRIBUTE pvpa15 NUMERIC
@ATTRIBUTE psr15 NUMERIC
@ATTRIBUTE roe15 NUMERIC
@ATTRIBUTE ev_ebit15 NUMERIC
@ATTRIBUTE pl16 NUMERIC
@ATTRIBUTE pvpa16 NUMERIC
@ATTRIBUTE psr16 NUMERIC
@ATTRIBUTE roe16 NUMERIC
@ATTRIBUTE ev_ebit16 NUMERIC
@ATTRIBUTE pl17 NUMERIC
@ATTRIBUTE pvpa17 NUMERIC
@ATTRIBUTE psr17 NUMERIC
@ATTRIBUTE roe17 NUMERIC
@ATTRIBUTE ev_ebit17 NUMERIC
@ATTRIBUTE pl18 NUMERIC
@ATTRIBUTE pvpa18 NUMERIC
@ATTRIBUTE psr18 NUMERIC
@ATTRIBUTE roe18 NUMERIC
@ATTRIBUTE ev_ebit18 NUMERIC
@ATTRIBUTE pl19 NUMERIC
@ATTRIBUTE pvpa19 NUMERIC
@ATTRIBUTE psr19 NUMERIC
@ATTRIBUTE roe19 NUMERIC
@ATTRIBUTE ev_ebit19 NUMERIC
@ATTRIBUTE pl20 NUMERIC
@ATTRIBUTE pvpa20 NUMERIC
@ATTRIBUTE psr20 NUMERIC
@ATTRIBUTE roe20 NUMERIC
@ATTRIBUTE ev_ebit20 NUMERIC
@ATTRIBUTE pl21 NUMERIC
@ATTRIBUTE pvpa21 NUMERIC
@ATTRIBUTE psr21 NUMERIC
@ATTRIBUTE roe21 NUMERIC
@ATTRIBUTE ev_ebit21 NUMERIC
@ATTRIBUTE pl22 NUMERIC
@ATTRIBUTE pvpa22 NUMERIC
@ATTRIBUTE psr22 NUMERIC
@ATTRIBUTE roe22 NUMERIC
@ATTRIBUTE ev_ebit22 NUMERIC
@ATTRIBUTE pl23 NUMERIC
@ATTRIBUTE pvpa23 NUMERIC
@ATTRIBUTE psr23 NUMERIC
@ATTRIBUTE roe23 NUMERIC
@ATTRIBUTE ev_ebit23 NUMERIC
@ATTRIBUTE pl24 NUMERIC
@ATTRIBUTE pvpa24 NUMERIC
@ATTRIBUTE psr24 NUMERIC
@ATTRIBUTE roe24 NUMERIC
@ATTRIBUTE ev_ebit24 NUMERIC
@ATTRIBUTE pl25 NUMERIC
@ATTRIBUTE pvpa25 NUMERIC
@ATTRIBUTE psr25 NUMERIC
@ATTRIBUTE roe25 NUMERIC
@ATTRIBUTE ev_ebit25 NUMERIC
@ATTRIBUTE pl26 NUMERIC
@ATTRIBUTE pvpa26 NUMERIC
@ATTRIBUTE psr26 NUMERIC
@ATTRIBUTE roe26 NUMERIC
@ATTRIBUTE ev_ebit26 NUMERIC
@ATTRIBUTE pl27 NUMERIC
@ATTRIBUTE pvpa27 NUMERIC
@ATTRIBUTE psr27 NUMERIC
@ATTRIBUTE roe27 NUMERIC
@ATTRIBUTE ev_ebit27 NUMERIC
@ATTRIBUTE pl28 NUMERIC
@ATTRIBUTE pvpa28 NUMERIC
@ATTRIBUTE psr28 NUMERIC
@ATTRIBUTE roe28 NUMERIC
@ATTRIBUTE ev_ebit28 NUMERIC
@ATTRIBUTE pl29 NUMERIC
@ATTRIBUTE pvpa29 NUMERIC
@ATTRIBUTE psr29 NUMERIC
@ATTRIBUTE roe29 NUMERIC
@ATTRIBUTE ev_ebit29 NUMERIC
@ATTRIBUTE pl30 NUMERIC
@ATTRIBUTE pvpa30 NUMERIC
@ATTRIBUTE psr30 NUMERIC
@ATTRIBUTE roe30 NUMERIC
@ATTRIBUTE ev_ebit30 NUMERIC
@ATTRIBUTE pl31 NUMERIC
@ATTRIBUTE pvpa31 NUMERIC
@ATTRIBUTE psr31 NUMERIC
@ATTRIBUTE roe31 NUMERIC
@ATTRIBUTE ev_ebit31 NUMERIC
@ATTRIBUTE pl32 NUMERIC
@ATTRIBUTE pvpa32 NUMERIC
@ATTRIBUTE psr32 NUMERIC
@ATTRIBUTE roe32 NUMERIC
@ATTRIBUTE ev_ebit32 NUMERIC
@ATTRIBUTE pl33 NUMERIC
@ATTRIBUTE pvpa33 NUMERIC
@ATTRIBUTE psr33 NUMERIC
@ATTRIBUTE roe33 NUMERIC
@ATTRIBUTE ev_ebit33 NUMERIC
@ATTRIBUTE pl34 NUMERIC
@ATTRIBUTE pvpa34 NUMERIC
@ATTRIBUTE psr34 NUMERIC
@ATTRIBUTE roe34 NUMERIC
@ATTRIBUTE ev_ebit34 NUMERIC
@ATTRIBUTE pl35 NUMERIC
@ATTRIBUTE pvpa35 NUMERIC
@ATTRIBUTE psr35 NUMERIC
@ATTRIBUTE roe35 NUMERIC
@ATTRIBUTE ev_ebit35 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.3694,4.4018,2585.3503,0.1735,25.9338,24.9944,4.3367,2547.1338,0.1735,25.5504,24.7506,4.2944,2522.293,0.1735,25.3013,24.4694,4.2456,2493.6306,0.1735,25.0137,24.1131,4.1838,2457.3248,0.1735,24.6496,23.8131,4.1317,2426.7516,0.1735,24.3429,25.9694,4.5059,2646.4968,0.1735,26.5471,2.77,1
25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.3694,4.4018,2585.3503,0.1735,25.9338,24.9944,4.3367,2547.1338,0.1735,25.5504,24.7506,4.2944,2522.293,0.1735,25.3013,24.4694,4.2456,2493.6306,0.1735,25.0137,24.1131,4.1838,2457.3248,0.1735,24.6496,26.5694,4.61,2707.6433,0.1735,27.1605,2.834,1
26.5694,4.61,2707.6433,0.1735,27.1605,25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.3694,4.4018,2585.3503,0.1735,25.9338,24.9944,4.3367,2547.1338,0.1735,25.5504,24.7506,4.2944,2522.293,0.1735,25.3013,24.4694,4.2456,2493.6306,0.1735,25.0137,26.5507,4.6067,2705.7325,0.1735,27.1413,2.832,1
26.5507,4.6067,2705.7325,0.1735,27.1413,26.5694,4.61,2707.6433,0.1735,27.1605,25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.3694,4.4018,2585.3503,0.1735,25.9338,24.9944,4.3367,2547.1338,0.1735,25.5504,24.7506,4.2944,2522.293,0.1735,25.3013,24.2678,4.4035,4742.6966,0.1815,24.4856,2.814,1
24.2678,4.4035,4742.6966,0.1815,24.4856,26.5507,4.6067,2705.7325,0.1735,27.1413,26.5694,4.61,2707.6433,0.1735,27.1605,25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.3694,4.4018,2585.3503,0.1735,25.9338,24.9944,4.3367,2547.1338,0.1735,25.5504,24.7853,4.4974,4843.8202,0.1815,25.0077,2.874,1
24.7853,4.4974,4843.8202,0.1815,25.0077,24.2678,4.4035,4742.6966,0.1815,24.4856,26.5507,4.6067,2705.7325,0.1735,27.1413,26.5694,4.61,2707.6433,0.1735,27.1605,25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.3694,4.4018,2585.3503,0.1735,25.9338,24.561,4.4567,4800.0,0.1815,24.7815,2.848,1
24.561,4.4567,4800.0,0.1815,24.7815,24.7853,4.4974,4843.8202,0.1815,25.0077,24.2678,4.4035,4742.6966,0.1815,24.4856,26.5507,4.6067,2705.7325,0.1735,27.1413,26.5694,4.61,2707.6433,0.1735,27.1605,25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.1475,4.5632,4914.6067,0.1815,25.3731,2.916,1
25.1475,4.5632,4914.6067,0.1815,25.3731,24.561,4.4567,4800.0,0.1815,24.7815,24.7853,4.4974,4843.8202,0.1815,25.0077,24.2678,4.4035,4742.6966,0.1815,24.4856,26.5507,4.6067,2705.7325,0.1735,27.1413,26.5694,4.61,2707.6433,0.1735,27.1605,25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.5006,4.4245,2598.7261,0.1735,26.068,25.0612,4.5475,4897.7528,0.1815,25.2861,2.906,1
25.0612,4.5475,4897.7528,0.1815,25.2861,25.1475,4.5632,4914.6067,0.1815,25.3731,24.561,4.4567,4800.0,0.1815,24.7815,24.7853,4.4974,4843.8202,0.1815,25.0077,24.2678,4.4035,4742.6966,0.1815,24.4856,26.5507,4.6067,2705.7325,0.1735,27.1413,26.5694,4.61,2707.6433,0.1735,27.1605,25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.5006,4.4245,2598.7261,0.1735,26.068,25.6994,4.6633,5022.4719,0.1815,25.93,2.98,1
25.6994,4.6633,5022.4719,0.1815,25.93,25.0612,4.5475,4897.7528,0.1815,25.2861,25.1475,4.5632,4914.6067,0.1815,25.3731,24.561,4.4567,4800.0,0.1815,24.7815,24.7853,4.4974,4843.8202,0.1815,25.0077,24.2678,4.4035,4742.6966,0.1815,24.4856,26.5507,4.6067,2705.7325,0.1735,27.1413,26.5694,4.61,2707.6433,0.1735,27.1605,25.9694,4.5059,2646.4968,0.1735,26.5471,25.6881,4.4571,2617.8344,0.1735,26.2596,26.2319,4.5514,2673.2484,0.1735,26.8155,26.3444,4.5709,2684.7134,0.1735,26.9305,25.8756,4.4896,2636.9427,0.1735,26.4513,26.2319,4.5514,2673.2484,0.1735,26.8155,24.8819,4.3172,2535.6688,0.1735,25.4354,24.8819,4.3172,2535.6688,0.1735,25.4354,24.9194,4.3237,2539.4904,0.1735,25.4738,25.3131,4.392,2579.6178,0.1735,25.8763,25.4444,4.4148,2592.9936,0.1735,26.0105,25.9506,4.5026,2644.586,0.1735,26.528,26.2507,4.5547,2675.1592,0.1735,26.8347,25.7444,4.4668,2623.5669,0.1735,26.3171,26.0444,4.5189,2654.1401,0.1735,26.6238,26.0444,4.5189,2654.1401,0.1735,26.6238,25.4819,4.4213,2596.8153,0.1735,26.0488,25.6881,4.4571,2617.8344,0.1735,26.2596,24.9194,4.3237,2539.4904,0.1735,25.4738,25.0694,4.3497,2554.7771,0.1735,25.6271,25.2944,4.3888,2577.707,0.1735,25.8571,25.3131,4.392,2579.6178,0.1735,25.8763,24.7506,4.2944,2522.293,0.1735,25.3013,24.3756,4.2293,2484.0764,0.1735,24.9179,24.5256,4.2554,2499.3631,0.1735,25.0712,24.9194,4.3237,2539.4904,0.1735,25.4738,25.2944,4.3888,2577.707,0.1735,25.8571,25.9409,4.7071,5069.6629,0.1815,26.1737,3.008,1
